select road_id, toll_flag, name_chn,alias_chn,ad_code,route_no,link_type from roadsegment where alias_chn like '%乌奎高速%';
--------------+-----------+--------------------+------------------------------------+---------+------------------+-----------
 629207218956 |         1 | Ｇ３０连霍高速     | 安集海大桥｜３１２国道｜乌奎高速   | 654223  | Ｇ３０｜Ｇ３１２ |         3
 629208267532 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
 629209316108 |         1 | Ｇ３０连霍高速     | 安集海大桥｜３１２国道｜乌奎高速   | 654223  | Ｇ３０｜Ｇ３１２ |         3
 629492431628 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
 629518646028 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
 629519694604 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
 629520743180 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
 629523888908 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
 629524937484 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
 629525986060 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
     68959058 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652324  | Ｇ３０｜Ｇ３１２ |         0
    672938834 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652324  | Ｇ３０｜Ｇ３１２ |         0
    675035986 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652324  | Ｇ３０｜Ｇ３１２ |         0
    676084562 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652324  | Ｇ３０｜Ｇ３１２ |         0
    679230290 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652324  | Ｇ３０｜Ｇ３１２ |         0
    680278866 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652324  | Ｇ３０｜Ｇ３１２ |         0
 629673835346 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652324  | Ｇ３０｜Ｇ３１２ |         0
 629674883922 |         1 | Ｇ３０连霍高速     | 玛纳斯河大桥｜３１２国道｜乌奎高速 | 652324  | Ｇ３０｜Ｇ３１２ |         3
 629675932498 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652324  | Ｇ３０｜Ｇ３１２ |         0
 629676981074 |         1 | Ｇ３０连霍高速     | 玛纳斯河大桥｜３１２国道｜乌奎高速 | 652324  | Ｇ３０｜Ｇ３１２ |         3
 631763647314 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652324  | Ｇ３０｜Ｇ３１２ |         0
 631764695890 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652324  | Ｇ３０｜Ｇ３１２ |         0
 631178542106 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652301  | Ｇ３０｜Ｇ３１２ |         0
 631179590682 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652301  | Ｇ３０｜Ｇ３１２ |         0
     74202003 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652324  | Ｇ３０｜Ｇ３１２ |         0
     75250579 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652324  | Ｇ３０｜Ｇ３１２ |         0
     76299155 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652324  | Ｇ３０｜Ｇ３１２ |         0
     77347731 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652324  | Ｇ３０｜Ｇ３１２ |         0
     79444883 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652324  | Ｇ３０｜Ｇ３１２ |         0
     81542035 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652324  | Ｇ３０｜Ｇ３１２ |         0
